"","GSM3351254","GSM3351255","GSM3351256","GSM3351257","GSM3351258","GSM3351259","GSM3351260","GSM3351261"
"Sec61a1",5.74246070570783,5.7451094668211,5.74232756535502,5.45470638630189,5.77683300874319,5.77058216841032,5.84682641635947,5.53217971519967
"Sec61a2",5.72189111531769,5.30549939861304,5.76790656378528,5.77472396639728,5.5084880596114,5.50241820028494,5.29818403729594,5.97313822393944
"Sec61b",7.3035563530209,7.0787974784185,7.13759572622029,6.94248220403256,7.5551963312264,7.13819426495885,7.18360108466577,6.88953212819771
"Sec61g",5.32904573032668,5.2114587261517,5.12628754963734,4.75190411548352,5.69648783562534,5.37722541661544,5.75580724163521,4.69796805614295
"Sec63",6.74614792889847,6.99021975037189,6.82242192327533,7.47486192771136,6.95336293188126,6.97127715508468,7.13103138740146,7.45046602602131
"Secisbp2l",7.71089319210743,8.23950754220213,8.34159360376717,8.18308203500319,8.17915896035901,8.08766849248857,8.73871898105138,8.29532493200641
"Sel1l",6.83502501969259,7.1319322593334,6.92180399805801,7.12099096117444,6.87278590777296,7.02744181051466,6.73693214690081,6.91698513267228
"Sel1l3",3.16548866817961,2.63657032108989,3.87590899673828,4.009658221047,2.70412213029757,3.12732978192754,2.10820859018886,3.87052127372572
"Selenbp1",3.99503612433261,4.04640380114234,3.09176843682041,3.23730095553707,4.26216044550196,3.72339043219596,4.25941738466456,3.47897067588953
"Selm",8.0604872819599,7.95215514826886,7.9797744612875,7.76716603873104,8.73427837649707,8.03032383080522,8.60225783057703,7.92625290378621
"Selo",4.16314303769506,4.45396225653487,4.25238883293342,3.99982058111453,4.40383589592591,4.28294972047363,4.25941738466456,4.18294047946961
"Selplg",5.62772954861811,5.60419029868136,5.74232756535502,4.98916433493324,4.50794081002684,4.67433147805724,5.684637761747,5.17335034899795
"Selrc1",4.90890779613261,5.32591200210951,5.51520911144504,5.6481834357992,5.21746462046496,5.51254483283093,5.57778240704843,5.59793289937609
"Selt",7.36454199432009,7.41521572472451,7.37961237390619,7.23806859336685,7.28360502517761,7.3923906760785,7.30999446505203,7.04430304702795
"Sema3a",3.67376729243698,4.82972582911946,4.4992458343342,5.1645203167845,4.39027826384933,4.97895919136847,4.02192804117481,4.82543694648642
"Sema3b",-1.04724359213214,0.554630645809112,0.497651492792109,0.68144000604183,2.94571812442808,1.45164029675953,1.11746047053336,1.22565686891433
"Sema3c",5.07381568760822,5.56301919417119,5.84889481593235,5.64345226103305,4.91064472259617,5.4819491636564,5.18745844269719,5.50387272886825
"Sema3d",4.06203042181905,4.16768458136955,4.02882435135583,3.61135733158295,3.6615781507731,3.85655639351765,4.00827656511516,3.7789935909547
"Sema3e",6.09574924295114,6.34139939596595,6.20511908005628,7.18587820522366,6.03820552923389,6.26689921937122,6.56342828793066,6.93193536237735
"Sema3f",3.65652900602408,3.49700610046306,2.91987775827098,2.74281012862271,3.92869695369488,3.48089782221936,3.22656104875463,2.66782098957996
"Sema3g",2.45576227558866,3.54754525956555,3.45782645399199,3.04979277784681,3.08688135095184,2.75669405846959,3.83351070398031,3.22523667801918
"Sema4a",4.03560483878661,4.24322077323332,4.29322606826331,4.48904680832958,4.20135058405155,4.59268202487463,3.66972948763248,4.67445529099736
"Sema4b",3.43180027575432,3.60594420373813,3.5107292737871,2.75455831570454,3.27568534616721,3.23888422842753,3.61673606702369,3.08959538969713
"Sema4c",3.69080203395822,3.55744405940012,3.7198991153049,3.13315404741983,3.51935552035512,3.39592393428265,3.63461770032027,3.22523667801918
"Sema4d",4.66351531764475,5.04202147281078,5.3215287060609,4.03877493990842,4.9573643297507,4.32492808890822,5.37465598684419,4.17338665199794
"Sema4f",3.93910654720413,4.34388238117584,4.28312461737633,3.47598568272487,4.40383589592591,4.30642166525309,3.63461770032027,3.79776956395838
"Sema4g",2.57064965745802,2.17885370424754,3.43975212498034,1.88108517368857,3.05286422141944,3.00642119210818,2.96908710202667,1.87078994388063
"Sema5a",5.02091348886889,4.98448510632104,4.92011583269765,4.94370562660663,5.22512173499995,5.35488635338726,4.84752157280614,5.1852830794539
"Sema5b",3.85092383613468,3.68030482400407,3.7641474598509,4.14524322658141,3.70603191257655,4.19010219362967,3.54290717037567,4.04829800854911
"Sema6a",5.36132305754167,6.02206326137521,6.45951358392416,4.80088187966579,5.8380353878904,5.9362196655718,6.34731609378782,5.25714123753075
"Sema6b",5.46397904018091,5.74943380374402,5.58265257392013,4.93856509228331,5.90630380672455,5.42518669194379,5.31491556581754,5.10715052275304
"Sema6c",1.93306269640184,2.27797034336503,3.09176843682041,2.20600186575452,1.23798629438812,2.86182617612622,2.25415147850065,2.26189562773599
"Sema6d",5.16196879076958,5.4238552055798,5.3215287060609,4.95138224700547,5.13043971482706,5.50038431598955,5.06092575184905,4.7211037519737
"Sema7a",5.15584768679356,5.23939804951373,5.76790656378528,5.04524078155672,5.32826115092934,4.84111383765812,5.33692663980602,5.28624167288305
"Senp1",4.40941405922102,4.54632791391413,4.51659434758749,4.92042759458939,4.03706807305563,4.53423852542466,4.72768146205438,4.88518253511875
"Senp2",7.05160680812502,7.21009841365521,7.25465467935644,7.82889423627421,7.26329577579974,7.3940348793068,7.36859984231361,7.74705538836915
"Senp3",5.79066315866801,5.59460814978381,5.64708348046008,5.60341051600645,5.5147494186777,5.53854616578621,5.37465598684419,5.44553598414697
"Senp6",7.29383364370531,7.62802645090677,7.74051672431395,8.11891838178577,7.33050185410781,7.6775705665094,7.77956424576931,8.11118868313049
"Senp8",4.13852145769235,4.26754548642234,4.19966103748389,4.85098994811346,4.00184118222397,4.47746890795825,4.32696039551378,4.89684038352453
