"ensembl_id","symbol","mean_fpkm","median_fpkm","max_fpkm","min_fpkm","sd_fpkm","cv","detected_samples","ctrl_mean","mor_mean","log2fc_mor_vs_ctrl"
"ENSMUSG00000001100","Poldip2",61.7675,60.72,68.03,53.27,5.52312476256486,0.0894179748664728,8,61.495,62.04,0.012729366882248
"ENSMUSG00000001103","Sebox",2.44,2.295,5.2,0.61,1.49236150350472,0.61162356701013,8,3.165,1.715,-0.883611702637636
"ENSMUSG00000001105","Ift20",47.12375,45.14,59.9,36.86,8.38701196153059,0.177978449540425,8,44.8675,49.38,0.138253098321635
"ENSMUSG00000001119","Col6a1",37.50875,35.74,55.52,25.93,10.6699302949926,0.284465099343288,8,42.88,32.1375,-0.416035954655572
"ENSMUSG00000001120","Pcbp3",53.21625,40.14,119.2,35,28.3708708449353,0.533124202568488,8,36.76,69.6725,0.922434025476288
"ENSMUSG00000001123","Lgals9",8.25625,7.785,12.08,3.86,3.05457005391687,0.369970634842316,8,10.7325,5.78,-0.892729612074289
"ENSMUSG00000001127","Araf",132.6325,131.835,151.56,113.28,12.3341578553219,0.0929949888249256,8,137.0025,128.2625,-0.0951020694115813
"ENSMUSG00000001128","Cfp",1.8175,1.98,2.22,1.28,0.362993506435426,0.199721324035998,8,1.6725,1.9625,0.230559046979867
"ENSMUSG00000001131","Timp1",0.655,0.54,1.46,0.08,0.498024669497979,0.760343006867144,6,1.03,0.28,-1.87540229714718
"ENSMUSG00000001134","Uxt",7.90125,8.28,9.08,5.93,1.00638586039352,0.127370461685622,8,8.595,7.2075,-0.253966399124981
"ENSMUSG00000001138","Cnnm3",1.71625,1.795,2.05,1.26,0.280098834597463,0.163203982285485,8,1.76,1.6725,-0.0735263581446789
"ENSMUSG00000001143","Lman2l",19.63875,19.11,22.02,17.31,1.92410600762313,0.0979749733370572,8,18.875,20.4025,0.112263575586364
"ENSMUSG00000001150","Mcm3ap",16.96125,16.365,20.3,14.37,2.16514887313948,0.127652671421002,8,16.7525,17.17,0.0355115383213811
"ENSMUSG00000001151","Pcnt",2.7025,2.705,3.14,1.81,0.427609635064506,0.15822743203127,8,2.6475,2.7575,0.0587084718357083
"ENSMUSG00000001156","Mxd1",4.88125,4.975,6.03,3.69,0.865141400498868,0.177237674878129,8,4.4625,5.3,0.248089114680482
"ENSMUSG00000001157","Gmcl1",6.29125,5.425,9.42,3.8,2.22529893657973,0.353713321928031,8,6.6025,5.98,-0.142844169631213
