"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","significant"
8.61611517038674e-41,0.36588786207459,0.153,0.304,2.10870802680045e-36,"8","Dnm2",TRUE
1.04167587323637e-40,0.612871539687222,0.672,0.733,2.54939753215868e-36,"8","Rpl5",TRUE
1.72069211925774e-40,0.376524677047625,0.156,0.309,4.2112218926714e-36,"8","Ifrd1",TRUE
1.81988127503423e-40,0.370897274899315,0.143,0.288,4.45397743251877e-36,"8","Helz",TRUE
3.76743856180164e-40,0.541541041569142,0.721,0.787,9.22042913615334e-36,"8","Rps13",TRUE
4.92707568050481e-40,0.307963502722655,0.193,0.364,1.20585250204675e-35,"8","Itpr2",TRUE
5.97448600116616e-40,0.473024578230839,0.739,0.796,1.46219570392541e-35,"8","Rps15",TRUE
7.83558492090355e-40,1.41827982510739,0.351,0.302,1.91768105354193e-35,"8","Bmp2k",TRUE
1.60119256752585e-39,0.375936090022647,0.156,0.309,3.91875868976276e-35,"8","Nop56",TRUE
1.705144552944e-39,0.348904780656489,0.12,0.251,4.17317077887513e-35,"8","Xrn1",TRUE
2.40165320122259e-39,1.11934442745677,0.373,0.312,5.87780604467217e-35,"8","Ifngr1",TRUE
4.05411752606038e-39,0.406167615089108,0.181,0.345,9.92204723328017e-35,"8","Ep300",TRUE
7.02445925239082e-39,1.62005110718271,0.264,0.195,1.71916615743013e-34,"8","Tent5a",TRUE
1.267416704427e-38,0.447200025259287,0.121,0.25,3.10187564241465e-34,"8","Ttc28",TRUE
1.57909025573993e-38,0.258088593913092,0.164,0.314,3.8646654918979e-34,"8","Tns3",TRUE
2.3942117101298e-38,0.495516839440957,0.122,0.252,5.85959373937166e-34,"8","Zbtb4",TRUE
6.94730193904276e-38,0.301134762689394,0.162,0.312,1.70028267656132e-33,"8","Ubtf",TRUE
1.07203097494461e-37,0.298682361256725,0.83,0.861,2.62368860807944e-33,"8","mt-Nd5",TRUE
1.1426982911737e-37,0.37549453961903,0.132,0.266,2.79663979781852e-33,"8","Lman2",TRUE
1.36617535369846e-37,2.21308075085143,0.319,0.276,3.34357756064161e-33,"8","Ints6",TRUE
1.641360351032e-37,0.584230031777632,0.594,0.62,4.01706532311572e-33,"8","Clta",TRUE
2.08956801016608e-37,0.35236645338835,0.153,0.299,5.11400874808047e-33,"8","Wdfy3",TRUE
3.26683567856793e-37,0.30799653602718,0.138,0.273,7.99525363972716e-33,"8","Lsm7",TRUE
8.48826674965424e-37,0.396569392302396,0.158,0.305,2.07741840431038e-32,"8","Trpc4ap",TRUE
8.51229144143223e-37,0.655324987971993,0.597,0.652,2.08329820737612e-32,"8","Eef1b2",TRUE
1.13220007952019e-36,0.461723818389883,0.198,0.37,2.77094647461772e-32,"8","Ccnl1",TRUE
1.23329809671244e-36,0.56994781634945,0.129,0.261,3.01837376189402e-32,"8","Tox4",TRUE
2.37498483360244e-36,0.499640457648088,0.145,0.285,5.8125378817586e-32,"8","Pcf11",TRUE
2.5449373228109e-36,0.305498653019542,0.136,0.268,6.2284796038474e-32,"8","Lasp1",TRUE
2.81056450486207e-36,1.23497458317932,0.254,0.181,6.87857556919943e-32,"8","Lcp1",TRUE
3.1176336758613e-36,0.267925337357916,0.16,0.303,7.63009665830294e-32,"8","Tmem134",TRUE
6.52024355075682e-36,0.27711685274395,0.163,0.307,1.59576440661222e-31,"8","Ssbp4",TRUE
1.27544455407566e-35,0.322032053202507,0.152,0.29,3.12152300164476e-31,"8","Rnh1",TRUE
3.48606255001158e-35,0.440179685953185,0.171,0.322,8.53178948489834e-31,"8","Cux1",TRUE
4.01122037239361e-35,0.585819682869787,0.627,0.694,9.81706073939612e-31,"8","Rpl10a",TRUE
4.7272790596712e-35,0.299810659088038,0.209,0.379,1.15695427706393e-30,"8","Pum2",TRUE
5.00839903257851e-35,0.52380657337351,0.705,0.764,1.22575557923327e-30,"8","Rps18",TRUE
3.21107289831259e-34,0.405407606708043,0.158,0.299,7.85877981133024e-30,"8","Usp8",TRUE
3.55304524751544e-34,0.365791431615713,0.192,0.349,8.69572293876928e-30,"8","Acap2",TRUE
3.63614509087299e-34,0.346195153637246,0.189,0.345,8.89910149540255e-30,"8","Tab2",TRUE
3.93718597503718e-34,0.452288796897348,0.148,0.283,9.63586895530599e-30,"8","Stat3",TRUE
4.28399943200207e-34,0.326792250986592,0.156,0.296,1.04846602098819e-29,"8","Tmed3",TRUE
4.8604993408923e-34,0.517483406194521,0.136,0.267,1.18955860868998e-29,"8","Med13l",TRUE
1.02704573363455e-33,0.304653372437156,0.171,0.315,2.51359172849719e-29,"8","Nop53",TRUE
