Contrast,Method,TF,Activity_Score,P_value
Control_DLPFC_vs_NAC_full,Enrichment,ZEB2,-2.10157273700465,0.02056834088039006
Control_DLPFC_vs_NAC_full,Enrichment,BACH2,2.0101875822507003,0.018685060653504046
Control_DLPFC_vs_NAC_full,Enrichment,RBPJ,-1.8290563304009306,0.01712780470763364
Control_DLPFC_vs_NAC_full,Enrichment,KLF3,1.8078654332571291,0.041194246076007864
Control_DLPFC_vs_NAC_full,Enrichment,TEAD2,-1.7590428593972924,0.08011336832772387
Control_DLPFC_vs_NAC_full,Enrichment,MBD2,-1.7583154295170411,0.06333203973595532
Control_DLPFC_vs_NAC_full,Enrichment,MAFK,1.7478207142547495,0.02737636179652162
Control_DLPFC_vs_NAC_full,Enrichment,ESRRA,-1.6805040096074653,0.04981443968154218
Control_DLPFC_vs_NAC_full,Enrichment,TCF12,1.677432439943841,0.030430269836219777
Control_DLPFC_vs_NAC_full,Enrichment,ELF1,1.664013436169691,0.03668317874684631
Control_DLPFC_vs_NAC_full,Enrichment,HOXA9,1.644897746420878,0.09113371344912916
