gene,logFC,logCPM,PValue,FDR,contrast,significant_fdr05,significant_fdr10,significant_nominal,significant_strict,significant,direction
AC008703.1,-3.8366055742793197,1.2314492883528414,7.132685544812488e-06,0.0015187425270391669,OUD_vs_Control_Female,True,True,True,True,True,Down
AHR,1.2095106971311718,5.917045945195891,7.175429486275107e-06,0.0015187425270391669,OUD_vs_Control_Female,True,True,True,True,True,Up
CDH26,1.2630539078677916,4.923773741797568,7.208869888823268e-06,0.0015187425270391669,OUD_vs_Control_Female,True,True,True,True,True,Up
ZFP36,2.4233185100477384,4.334516820523235,7.694201881791262e-06,0.0015915115406738424,OUD_vs_Control_Female,True,True,True,True,True,Up
BNC2,-1.2649149819906416,5.802600626021153,7.800458214496067e-06,0.0015915115406738424,OUD_vs_Control_Female,True,True,True,True,True,Down
TNFRSF13C,-3.447808668296485,2.5019798491244885,7.81828273772768e-06,0.0015915115406738424,OUD_vs_Control_Female,True,True,True,True,True,Down
FBXO7,0.8984100279865844,6.836093311484249,7.827441617760728e-06,0.0015915115406738424,OUD_vs_Control_Female,False,True,True,False,True,Up
P3H2,-1.3223975101256535,5.1550413905303065,7.907893177537015e-06,0.0015915115406738424,OUD_vs_Control_Female,True,True,True,True,True,Down
MGLL,-1.0172767114590548,5.916110324479377,8.055631736769359e-06,0.0015915115406738424,OUD_vs_Control_Female,True,True,True,True,True,Down
AC097537.1,-2.226952549804241,2.710708628332847,8.062106803742066e-06,0.0015915115406738424,OUD_vs_Control_Female,True,True,True,True,True,Down
GIMAP8,-2.4051837648082155,2.7535200725375275,8.223530113640785e-06,0.0015915115406738424,OUD_vs_Control_Female,True,True,True,True,True,Down
STK3,0.7644543425582605,8.272726806910356,8.329260117535742e-06,0.0015915115406738424,OUD_vs_Control_Female,False,True,True,False,True,Up
TREM1,7.443034442013783,-0.7621145766944668,8.330798354929983e-06,0.0015915115406738424,OUD_vs_Control_Female,True,True,True,True,True,Up
AL353784.1,-2.5874080410681617,5.187542379276295,8.331620339347184e-06,0.0015915115406738424,OUD_vs_Control_Female,True,True,True,True,True,Down
SLC8A1-AS1,-1.229309222594107,5.083695829650682,8.411672229219519e-06,0.0015915115406738424,OUD_vs_Control_Female,True,True,True,True,True,Down
TBC1D9,-1.312142005755084,4.5754879249569935,8.415018176320048e-06,0.0015915115406738424,OUD_vs_Control_Female,True,True,True,True,True,Down
FOS,1.8651777061157395,4.949067765734114,8.457790927149907e-06,0.0015915115406738424,OUD_vs_Control_Female,True,True,True,True,True,Up
NGFR,2.5934016412723615,2.818960773756243,8.470348202999945e-06,0.0015915115406738424,OUD_vs_Control_Female,True,True,True,True,True,Up
SHROOM3,-1.9885247539258888,3.88320219809945,8.502485559692627e-06,0.0015915115406738424,OUD_vs_Control_Female,True,True,True,True,True,Down
RMST,-2.5220203149054132,3.1869092627280033,8.71069574291896e-06,0.0015915115406738424,OUD_vs_Control_Female,True,True,True,True,True,Down
AZIN2,-1.037745970386736,5.825302014481297,8.755937933285147e-06,0.0015915115406738424,OUD_vs_Control_Female,True,True,True,True,True,Down
SLC22A23,0.8243336622949344,8.608164548661952,8.76957731386857e-06,0.0015915115406738424,OUD_vs_Control_Female,False,True,True,False,True,Up
PM20D1,2.703883454334069,1.6200399089067925,8.838556098537352e-06,0.0015915115406738424,OUD_vs_Control_Female,True,True,True,True,True,Up
MPP3,1.5537216719334384,3.9734946818803847,8.862067657759545e-06,0.0015915115406738424,OUD_vs_Control_Female,True,True,True,True,True,Up
HPSE2,-2.449111510013863,6.6172056091994,8.902738325639507e-06,0.0015915115406738424,OUD_vs_Control_Female,True,True,True,True,True,Down
SPTLC3,-2.0144084606839563,3.460000326759155,8.995442825757933e-06,0.0015915115406738424,OUD_vs_Control_Female,True,True,True,True,True,Down
MVP,1.4365283776693811,5.235340232176027,9.006900323898874e-06,0.0015915115406738424,OUD_vs_Control_Female,True,True,True,True,True,Up
LINC02724,-4.779733566801479,-1.7291537294118842,9.007020914431342e-06,0.0015915115406738424,OUD_vs_Control_Female,True,True,True,True,True,Down
MYOZ2,-3.4689600076654936,1.1542234087591623,9.090069142170853e-06,0.001593625294158295,OUD_vs_Control_Female,True,True,True,True,True,Down
SLCO1C1,-2.165447035052488,4.010536045779984,9.135357499008774e-06,0.001593625294158295,OUD_vs_Control_Female,True,True,True,True,True,Down
AL138828.1,-1.4728979510573623,4.103512095848052,9.261868946854294e-06,0.0016054687766863633,OUD_vs_Control_Female,True,True,True,True,True,Down
BRINP3,-0.9744451346634757,6.686796319226806,9.464926495980213e-06,0.0016232832247276392,OUD_vs_Control_Female,False,True,True,False,True,Down
ARL5C,-3.2385218820956965,0.7907289571584654,9.483179347028707e-06,0.0016232832247276392,OUD_vs_Control_Female,True,True,True,True,True,Down
AL121999.1,-2.844838672792788,1.4402491466172898,9.811426337959883e-06,0.0016690394071058713,OUD_vs_Control_Female,True,True,True,True,True,Down
XKR4,-1.487246527651434,5.8862414598133,9.97942334607073e-06,0.0016792600308866983,OUD_vs_Control_Female,True,True,True,True,True,Down
EDNRB,-1.5909816713972946,3.8782157716620165,1.0047497139731146e-05,0.0016792600308866983,OUD_vs_Control_Female,True,True,True,True,True,Down
GLUL,1.0709521389732546,8.076316407145931,1.0089898264791797e-05,0.0016792600308866983,OUD_vs_Control_Female,True,True,True,True,True,Up
AC025159.1,0.8333576969891051,7.523810815269879,1.0174371606390668e-05,0.0016792600308866983,OUD_vs_Control_Female,False,True,True,False,True,Up
GLIPR1,-2.139689907459319,3.2161486309875915,1.0225984621137174e-05,0.0016792600308866983,OUD_vs_Control_Female,True,True,True,True,True,Down
MARCKS,-1.0938627982243243,5.3705359494416465,1.0239390432235965e-05,0.0016792600308866983,OUD_vs_Control_Female,True,True,True,True,True,Down
BCAT1,1.0570639166506872,6.921217959973064,1.0700965845298755e-05,0.0017171941562872384,OUD_vs_Control_Female,True,True,True,True,True,Up
TMEM119,-2.4932285929465774,1.6101633006015297,1.0740217550557615e-05,0.0017171941562872384,OUD_vs_Control_Female,True,True,True,True,True,Down
RASSF10,-5.210870022148019,-1.6898300988882609,1.08425716424096e-05,0.0017171941562872384,OUD_vs_Control_Female,True,True,True,True,True,Down
JAK3,1.731618981709644,3.2625605748433886,1.0848682575949177e-05,0.0017171941562872384,OUD_vs_Control_Female,True,True,True,True,True,Up
CXCL12,-2.3648287887582646,2.106089282752782,1.0854282497423896e-05,0.0017171941562872384,OUD_vs_Control_Female,True,True,True,True,True,Down
CYSLTR1,-3.197517717832857,2.4894472073552034,1.089280283929248e-05,0.0017171941562872384,OUD_vs_Control_Female,True,True,True,True,True,Down
AF127936.2,-2.6725112166583513,2.531069046719622,1.0985479030426527e-05,0.0017171941562872384,OUD_vs_Control_Female,True,True,True,True,True,Down
GTF2IRD1,1.2231672563937508,5.609882103415611,1.1022552061594427e-05,0.0017171941562872384,OUD_vs_Control_Female,True,True,True,True,True,Up
DPP4,-3.0066999610615666,1.0503731856968541,1.1207337178989571e-05,0.0017171941562872384,OUD_vs_Control_Female,True,True,True,True,True,Down
SEZ6L,-1.4318331601771404,5.661243337120088,1.1315565069290071e-05,0.0017171941562872384,OUD_vs_Control_Female,True,True,True,True,True,Down
NRXN1,-1.808542703270025,9.190004950040553,1.137495775389518e-05,0.0017171941562872384,OUD_vs_Control_Female,True,True,True,True,True,Down
PIP5K1B,-1.3265353367438926,4.548199354735954,1.1389725094188153e-05,0.0017171941562872384,OUD_vs_Control_Female,True,True,True,True,True,Down
NKAIN2,-0.7212173236653232,10.311069259356309,1.1390037954240353e-05,0.0017171941562872384,OUD_vs_Control_Female,False,True,True,False,True,Down
