gene,mean_group1,mean_group2,log_fold_change,abs_log_fold_change,t_statistic,pvalue,padj,significant
SGCZ,0.49651822,0.8780451,0.38152686,0.38152686,-3.288290868132474,0.0010254692380628205,0.0022838958531465935,False
ESYT2,1.1062016,0.87640494,-0.22979671,0.22979671,3.284478327295848,0.001039368368124175,0.0023097074847203886,False
PDE4D,3.3454204,3.735243,0.38982272,0.38982272,-3.274500659171372,0.0010765732518418763,0.0023870803810241157,False
BCL2,1.9097612,1.6240053,-0.28575587,0.28575587,3.27348444841535,0.001080430895116592,0.002390333838753522,False
SPARCL1,1.2657026,1.8790772,0.6133746,0.6133746,-3.262014054465081,0.0011248699882685461,0.002483156706994583,False
SLC9A9,6.0388703,5.479699,-0.5591712,0.5591712,3.2540051323282544,0.0011568946430850363,0.002548226086090388,False
ATP1A2,0.58224225,0.93679005,0.3545478,0.3545478,-3.250991989950696,0.0011691598385922134,0.002569582062840029,False
PPP1R16B,2.9396322,3.1800494,0.24041724,0.24041724,-3.2492198716501175,0.001176429410903249,0.0025798890589983532,False
ZHX3,2.2857027,2.4998374,0.2141347,0.2141347,-3.24168936010553,0.001207789641387934,0.0026428657360786302,False
CPB2-AS1,2.922045,2.6919677,-0.23007727,0.23007727,3.2314312368847644,0.0012517529973852342,0.0027330851471293323,False
SLC4A4,0.7567982,1.2175806,0.46078235,0.46078235,-3.2012648888659245,0.0013897499915387671,0.003027777759343719,False
PNISR,2.9524643,3.137386,0.18492174,0.18492174,-3.1862497336681583,0.0014635507981084015,0.003181632169800873,False
TMEM132B,0.80865157,1.0170162,0.2083646,0.2083646,-3.178591145215943,0.0015025699176512853,0.0032593707541242628,False
FMNL3,0.8503171,0.62005967,-0.23025745,0.23025745,3.1777991156767436,0.0015066594163608332,0.0032611675678805912,False
IGSF11,3.5079243,3.292959,-0.21496534,0.21496534,3.1739256539993983,0.0015268075290570116,0.0032976404515270225,False
MEF2A,5.2577486,4.260749,-0.99699974,0.99699974,3.164516018195048,0.0015767913412505917,0.0033982572009711026,True
PDZRN4,0.54780227,0.7603125,0.21251023,0.21251023,-3.1605901218747485,0.001598087928189269,0.003436748232665094,False
ATP13A4,0.68310106,0.8829497,0.19984865,0.19984865,-3.1593491509939806,0.0016048746725169027,0.0034439370654869156,False
NCALD,0.49017873,0.69896597,0.20878723,0.20878723,-3.1576644223391175,0.001614130775553062,0.003456382817030111,False
DAB1,1.0182654,1.3548137,0.33654833,0.33654833,-3.1531341775774573,0.0016392649261224442,0.0035010927363854976,False
ADAMTS17,0.66515464,0.8931873,0.22803265,0.22803265,-3.1526428343006017,0.0016420124933647982,0.0035010927363854976,False
AATK,3.3203907,3.0732763,-0.24711442,0.24711442,3.147865169863819,0.0016689509309470302,0.0035509594275468727,False
TPD52L1,0.43422523,0.6898662,0.25564095,0.25564095,-3.1377394543106836,0.0017273939853453342,0.003667503153599436,False
RASGEF1C,0.6603756,1.1229192,0.4625436,0.4625436,-3.124795854523243,0.001804843372532382,0.0038238207045177587,False
MT-CYB,1.5278429,1.8611417,0.3332988,0.3332988,-3.118973113243697,0.001840715286142142,0.0038915756578057972,False
FAM155A,1.8312352,2.646248,0.81501293,0.81501293,-3.1121016639178847,0.0018838907333168225,0.003965036692991286,True
SOX6,1.4408253,2.124686,0.68386066,0.68386066,-3.1119418672776216,0.001884905771410835,0.003965036692991286,False
DDAH1,0.44952548,0.65312856,0.20360309,0.20360309,-3.111556224991674,0.0018873574658638521,0.003965036692991286,False
PXK,7.6436143,8.212785,0.5691705,0.5691705,-3.099787755847646,0.0019635991251243505,0.004116560010742874,False
PTPRJ,4.9487147,4.557747,-0.39096785,0.39096785,3.069776160335123,0.0021710134969800585,0.004541869240544056,False
SLC24A3,0.35836345,0.5481767,0.18981326,0.18981326,-3.067543109380469,0.0021872227610022685,0.004566227058459851,False
SGIP1,3.328503,3.1106567,-0.21784616,0.21784616,3.0562285729292125,0.0022710721101934324,0.004731400229569651,False
SMOC1,0.8997534,0.67746425,-0.22228914,0.22228914,3.0541306805633255,0.0022869392393058464,0.004754551433068288,False
