"","OUD_Effect_Male_vs_Female_results","OUD_Effect_Putamen_vs_Caudate_results","OUD_vs_Control_Caudate_results","OUD_vs_Control_Female_results","OUD_vs_Control_Male_results","OUD_vs_Control_Putamen_results","Pooled_OUD_vs_Control_results"
"MBD1",-1.06329342138902,0.0771198015283947,-0.076227818626218,0.688434386527751,-0.851886536724752,0.0117592378754051,-0.0801142954236751
"NANOG",-0.0288328107051603,-0.209276825048843,1.07636336164122,0.51481486993667,0.492944520321221,0.648544548593195,0.706262217785474
"SOX2",2.30841013272863,2.25183153263302,-2.39500563507512,-2.84469648304234,-0.0502241741225984,-0.388750931363137,-1.99629472275382
"RXRA",1.10886282004496,-1.57409708592587,1.26038174938366,0.212019239098657,1.3830186456584,-0.789808578981855,0.266947260387713
"KMT2A",-0.458325868467422,2.43297626218824,-2.99647561449434,-1.02860332078505,-2.08879198013309,-0.745602229872936,-1.89774352456726
"HIC1",-0.632057249972777,-0.14785817250705,0.420947924516471,0.896683453238611,0.169270755034912,0.243415662804933,0.489995422622529
"NR2F6",-0.50724635327161,0.0512079030368687,-0.781849245258674,-0.178203712484957,-0.820959184260574,-0.532610512213666,-0.865506546450467
"MAFF",0.0494623962179637,0.254620110709489,-0.0384970563584708,0.178352590133583,0.17288939745595,0.216732774164358,-0.0948037261573965
"HOXB7",-0.359093847620632,0.282827973927898,0.409687534866884,0.731891251146578,0.181464400647267,0.606952029670133,0.570794824164297
"RUNX3",-0.119290448722196,0.252482932901169,-0.979240213661147,-0.573054883022472,-0.998632072155322,-0.778015246058755,-1.23292354655762
"SP2",-0.345895972130241,-0.493930067414201,-0.148976084053102,0.0896542822073439,-0.396796610717042,-0.508019277986643,-0.329791414104209
"LYL1",0.556258228678129,1.33242646883223,-3.23257948102673,-2.44073258561745,-2.37457276432079,-2.11591833175709,-3.84260083748496
"BACH2",-0.465250981385801,0.107208975867182,-0.201433987359866,0.144635402286171,-0.61780238108313,-0.0677053855242403,-0.15277576998035
"FOXP2",-1.20674149766193,-0.0219784365539097,1.11066728569383,1.39776965989121,0.075485735612779,1.17924867475737,1.43753653878967
"CUX1",-1.12768148162876,0.365694233121359,1.35059920438438,1.43129225517361,0.0971024232715049,1.49238821566035,1.67210596701837
"NCOA2",-0.708283591480574,0.217415911663262,-0.326013373013992,0.481307815924423,-0.405357359823625,-0.162085736645733,-0.452299942305857
"HBP1",-0.20850549032454,-0.64498842927588,0.467319824589996,0.311110815383727,-0.0876059964810305,-0.248416292179704,0.112160578914863
"PRDM14",0.414692808440309,1.31538037425345,-3.2978800432608,-2.45483776065285,-2.22714773449783,-1.51418201912562,-3.29039425778597
"GRHL2",0.163003617856338,-0.124143012561308,0.47317869885127,0.350670996903618,0.847225050938619,0.171400050617161,0.216191499866143
"E2F7",-0.699961879846008,0.455410340476109,0.909857642554618,0.938640818473597,-0.140671604012634,1.28779689797738,0.976082699352637
"TEAD4",-0.45386023003956,1.47330187336467,-0.3101638225914,0.576372020155061,0.171057284650523,0.996239232282021,0.580411325842582
"MBD2",0.397229651694177,-0.643233573143437,-0.0857271626248419,-0.410441638691559,0.141262355549209,-0.686628028863653,-0.549292041262028
