"analysis","statistic","source","condition","score","p_value"
"OUD_Effect_Male_vs_Female_results_ulm","ulm","NFIC","OUD_Effect_Male_vs_Female_results",-3.08036148577983,0.00206962884695403
"OUD_Effect_Male_vs_Female_results_ulm","ulm","FOXO3","OUD_Effect_Male_vs_Female_results",-3.06499179036424,0.00217896557296371
"OUD_Effect_Male_vs_Female_results_ulm","ulm","IRF9","OUD_Effect_Male_vs_Female_results",-3.05955217587651,0.00221891346452859
"OUD_Effect_Male_vs_Female_results_ulm","ulm","SMAD4","OUD_Effect_Male_vs_Female_results",-3.03689402280116,0.00239263672806317
"OUD_Effect_Male_vs_Female_results_ulm","ulm","IRF1","OUD_Effect_Male_vs_Female_results",-2.99796729302259,0.00272040868384582
"OUD_Effect_Male_vs_Female_results_ulm","ulm","RARA","OUD_Effect_Male_vs_Female_results",-2.98702553323423,0.00281966003545999
"OUD_Effect_Male_vs_Female_results_ulm","ulm","RFX5","OUD_Effect_Male_vs_Female_results",-2.95828103256098,0.00309635374999064
"OUD_Effect_Male_vs_Female_results_ulm","ulm","ELF3","OUD_Effect_Male_vs_Female_results",-2.95183665425125,0.00316169010217668
"OUD_Effect_Male_vs_Female_results_ulm","ulm","ZBTB7A","OUD_Effect_Male_vs_Female_results",-2.91505984542866,0.00355920455398765
"OUD_Effect_Male_vs_Female_results_ulm","ulm","ETV4","OUD_Effect_Male_vs_Female_results",-2.90911890686366,0.00362752593809872
"OUD_Effect_Male_vs_Female_results_ulm","ulm","FOXM1","OUD_Effect_Male_vs_Female_results",-2.89787351500056,0.00376012397955649
"OUD_Effect_Male_vs_Female_results_ulm","ulm","CUX1","OUD_Effect_Male_vs_Female_results",-2.87047512705195,0.00410182507942396
"OUD_Effect_Male_vs_Female_results_ulm","ulm","ARID2","OUD_Effect_Male_vs_Female_results",-2.82663548767376,0.00470753440994338
"OUD_Effect_Male_vs_Female_results_ulm","ulm","CREB3","OUD_Effect_Male_vs_Female_results",-2.79977285865827,0.00511758659985278
"OUD_Effect_Male_vs_Female_results_ulm","ulm","POU2F2","OUD_Effect_Male_vs_Female_results",-2.78871783443437,0.00529551864840323
"OUD_Effect_Male_vs_Female_results_ulm","ulm","RBPJ","OUD_Effect_Male_vs_Female_results",-2.78518125069341,0.00535360909439147
"OUD_Effect_Male_vs_Female_results_ulm","ulm","MYOD1","OUD_Effect_Male_vs_Female_results",-2.78264607210843,0.00539560434046341
"OUD_Effect_Male_vs_Female_results_ulm","ulm","ZBTB11","OUD_Effect_Male_vs_Female_results",-2.77299970797013,0.00555812919298097
"OUD_Effect_Male_vs_Female_results_ulm","ulm","HNF4G","OUD_Effect_Male_vs_Female_results",-2.75205645041685,0.0059262901703621
"OUD_Effect_Male_vs_Female_results_ulm","ulm","ZNF639","OUD_Effect_Male_vs_Female_results",-2.75162904763491,0.00593402712418417
"OUD_Effect_Male_vs_Female_results_ulm","ulm","MBD1","OUD_Effect_Male_vs_Female_results",-2.74855271089178,0.00598998485857762
"OUD_Effect_Male_vs_Female_results_ulm","ulm","BACH1","OUD_Effect_Male_vs_Female_results",-2.71451418815232,0.00664163579180443
"OUD_Effect_Male_vs_Female_results_ulm","ulm","CLOCK","OUD_Effect_Male_vs_Female_results",-2.67994058464993,0.00736811102056968
"OUD_Effect_Male_vs_Female_results_ulm","ulm","MAZ","OUD_Effect_Male_vs_Female_results",-2.66552800978035,0.00769145079878585
"OUD_Effect_Male_vs_Female_results_ulm","ulm","FOXO4","OUD_Effect_Male_vs_Female_results",-2.65732162430849,0.00788118713144009
"OUD_Effect_Male_vs_Female_results_ulm","ulm","ZNF24","OUD_Effect_Male_vs_Female_results",-2.64968824542745,0.00806142779209084
"OUD_Effect_Male_vs_Female_results_ulm","ulm","ETV6","OUD_Effect_Male_vs_Female_results",-2.64248316871859,0.0082349319384673
"OUD_Effect_Male_vs_Female_results_ulm","ulm","TEAD2","OUD_Effect_Male_vs_Female_results",-2.63366846650658,0.0084517375005819
"OUD_Effect_Male_vs_Female_results_ulm","ulm","ESRRA","OUD_Effect_Male_vs_Female_results",-2.62834476774254,0.00858513799060601
"OUD_Effect_Male_vs_Female_results_ulm","ulm","E2F7","OUD_Effect_Male_vs_Female_results",-2.60474999538033,0.00919930724391655
"OUD_Effect_Male_vs_Female_results_ulm","ulm","HBP1","OUD_Effect_Male_vs_Female_results",-2.53812777313764,0.0111504504032811
"OUD_Effect_Male_vs_Female_results_ulm","ulm","CTCFL","OUD_Effect_Male_vs_Female_results",-2.53592769658649,0.0112207287922694
"OUD_Effect_Male_vs_Female_results_ulm","ulm","PBX2","OUD_Effect_Male_vs_Female_results",-2.49019842633239,0.0127733068224193
"OUD_Effect_Male_vs_Female_results_ulm","ulm","REST","OUD_Effect_Male_vs_Female_results",-2.45523413501036,0.0140857141875915
"OUD_Effect_Male_vs_Female_results_ulm","ulm","GRHL2","OUD_Effect_Male_vs_Female_results",-2.43640459493476,0.0148406745416787
"OUD_Effect_Male_vs_Female_results_ulm","ulm","NCOA1","OUD_Effect_Male_vs_Female_results",-2.41291459058845,0.0158323256199512
"OUD_Effect_Male_vs_Female_results_ulm","ulm","MAFB","OUD_Effect_Male_vs_Female_results",-2.38730413770864,0.0169794672237158
