"","Control_DLPFC_vs_NAC_full","Control_Male_vs_Female_full","DLPFC_OUD_vs_Control_full","Female_OUD_vs_Control_full","Male_OUD_vs_Control_full","NAC_OUD_vs_Control_full","OUD_DLPFC_vs_NAC_full","OUD_Male_vs_Female_full","Pooled_OUD_vs_Control_full"
"NRF1",0.618920133614586,0.0817188736223332,0.249829315878126,-0.901716188041891,-1.64267092802078,-2.21143212080334,1.55541865180731,-0.513129212464035,-1.37380694042969
"ONECUT1",0.751063391765009,1.38193836949494,-0.771249594567319,-0.517891751601624,0.236388220362125,-0.380494073430423,0.532644832463499,2.05983997760933,-0.252335678498016
"OTX2",0.207316823006815,1.10475441019208,0.284897113560913,-0.035804693117325,0.31378647932142,-0.138546157787328,0.0882770246276839,1.35283038413278,0.304985887100527
"PAX5",-1.02182568542124,-2.09038579077623,0.432809570741122,-1.39425269582257,-0.582010832004707,-1.59156149732028,-0.124156953249861,-0.598384799881002,-1.16597464032541
"PAX6",-0.0699624480768083,-0.11586223792121,-0.22329408412969,-0.470770651379374,-0.0237508094998596,-0.787750753327243,0.182614319666005,0.459546535875077,-0.230974937788775
"PBX2",1.27899570639724,-0.468957014097224,-0.652436090273053,-0.113244946701664,-0.998860861892861,-0.662928183940147,1.22476547820652,-1.4396061550177,-0.584354772283161
"PBX3",0.771498534917512,0.0935153736338645,0.0743385759711558,1.09200233690549,0.41804776331568,0.787370287666271,0.568392960076632,-1.12252956976359,0.875364406414059
"PDX1",1.0747541881967,0.599862616778422,1.48558789939019,0.966206510709945,1.24500698542014,0.437909794251239,1.12939170284911,0.304035549770681,1.15885838618904
"PKNOX1",0.72066074264502,0.335171612441202,-0.216349212666191,-0.0321623647434234,-0.606429538393697,-0.486332751792265,0.665348878961562,-0.499401565723423,-0.322717089807498
"POU2F1",-1.07699706438451,0.00802340297142769,2.24399645067075,1.5395596563772,0.36106024990738,0.50858522503005,-1.07663093400048,-1.73167367468341,0.695590003183235
"POU4F2",0.314499118516505,0.58307144393714,-0.802879770043969,-0.256580482065689,-0.457472392043711,-0.409245303690964,0.124746196509622,0.596022909709581,-0.415586794658989
"POU5F1",1.47692107538435,-0.113702802545576,-0.763690377269403,0.0739514225033231,-0.98065310899823,-0.654648303846838,1.25648848231403,-1.27122888214863,-0.450461700568549
"PPARA",-0.17358560980509,-3.51764861998839,0.877155388238736,0.388853391275195,2.43178197608889,-0.272642678199695,0.584905457287347,-1.70589574492667,1.10732826071313
"PPARG",-1.33753683364983,-1.93758135088484,0.976730651199126,1.3324699398418,1.84325387181316,1.34653130013624,-1.16787031017255,-1.16056082620555,1.53944890371644
"PRDM1",0.430934648823186,0.566563645666692,-1.58575509089285,-0.880532227482315,-0.813365708519092,-0.455215455568156,0.325849374624356,0.671062899247438,-1.03348083473906
"PRDM14",0.591085280890705,-7.52025057006408,-1.94825475773869,-5.06062899391513,-4.19820041769662,-6.29038757376473,1.82098088914633,-4.07971281446996,-5.38638670204867
"PROX1",0.830485774001932,-0.999076439162066,-1.3362446590375,-1.67396522369607,-1.16887771388522,-1.66671974288589,0.977448215509743,-0.262591614123162,-1.66250208131299
"RARA",-1.61153750863945,-3.1004558167152,3.20197170575149,2.69802095197838,3.90569178667631,3.56024947363399,-1.67068007063873,-1.63887420260149,3.41297328415157
"RBPJ",-1.272138700857,0.339914701009379,1.73373865712303,1.67384752417003,0.508634778070158,1.58657142151606,-1.12738601265448,-1.22909660462997,1.81889065871679
"REL",-2.16818266935082,-2.05234423464796,4.53764346144665,3.66410204570529,5.09783883959506,4.7315664502477,-2.53979261553746,-1.55939038270876,4.77067202834409
"RELA",-1.97192020737658,-1.87608644816587,4.19792980233188,4.05298573526683,3.77920822482367,4.78848302523893,-1.08404643875216,-1.87238802555137,5.19219173599146
"RELB",-1.73861413020245,-3.10226291901995,3.10989473497821,1.57389004784543,3.64871002848591,2.26902220730139,-1.69552473230086,-0.282830975156394,2.54527313176657
"REST",-1.89638482895703,0.182299145372109,1.20637204967822,2.51564122711031,2.11631187269084,2.93649426578168,-2.8586047288615,-1.18843125173537,2.18524716934492
"RFX1",-0.194810703023761,-0.822275983696585,-1.29020092294086,-2.39582992772876,-2.03395923122067,-2.68788651971536,0.550869888658583,0.359763334169333,-2.54220076497166
"RFX2",0.0784488124999518,-0.279010109515723,0.06143470058092,-0.535855731280048,-0.270061677539241,-0.900689211304671,0.490643148485013,0.0748191874131414,-0.518214411217163
