gene,log_fc,p_value,adj_p_value,oud_mean,ctrl_mean,significant
RPS6KA3,0.0,5.784587526551822e-14,8.16647650807316e-14,0.7290817713773208,0.7290817713773208,False
FAXDC2,0.0,0.0,0.0,1.9474766968431945,1.9474766968431945,False
WIF1,0.0,0.08399074127218974,0.09060489889125106,0.21518830333871056,0.21518830333871056,False
POU6F2,0.0,1.3456264790340638e-44,2.577828503896674e-44,0.31267615056964004,0.31267615056964004,False
RAPGEF2,0.0,3.0110576786202456e-158,1.081817130043202e-157,2.4854178586797855,2.4854178586797855,False
EFNA5,0.0,0.008320920131906195,0.009349348462815951,0.2714812005853122,0.2714812005853122,False
ANO3,0.0,4.11143067858555e-06,5.0654176738220335e-06,0.30655950464970166,0.30655950464970166,False
MLLT3,0.0,1.4244705719870724e-14,2.0233956988452733e-14,2.5599442882482037,2.5599442882482037,False
CA8,0.0,2.6133824444900263e-17,3.8432094771912155e-17,0.3658274649179648,0.3658274649179648,False
HDAC4,0.0,0.0,0.0,2.333444282774785,2.333444282774785,False
ANKRD12,0.0,0.0,0.0,4.217275421584603,4.217275421584603,False
PPARD,0.0,2.5998359379434986e-36,4.673162261132712e-36,0.7038898630247095,0.7038898630247095,False
ARHGAP32,0.0,2.562814579269543e-48,5.031704016890464e-48,1.8388177253669875,1.8388177253669875,False
TBC1D14,0.0,3.9259346695101195e-83,9.741773373474242e-83,0.6671546645827282,0.6671546645827282,False
AC023282.1,0.0,6.078810109969857e-14,8.573780126896837e-14,0.42931789209236604,0.42931789209236604,False
ETV5,0.0,1.8358781772559277e-264,9.256528624819804e-264,0.5166282876742376,0.5166282876742376,False
SERPINB9,0.0,0.016589613678392998,0.01844656821170459,0.28581815069022776,0.28581815069022776,False
FBN1,0.0,2.5777051356586543e-09,3.4171963795740005e-09,2.0395159969219017,2.0395159969219017,False
STX7,0.0,1.641972530442559e-125,5.131164157632997e-125,1.0990349006637148,1.0990349006637148,False
CPM,0.0,4.032350619433688e-09,5.308052592497176e-09,1.6750902913294379,1.6750902913294379,False
BPTF,0.0,1.2127142873133262e-09,1.6147993173279977e-09,3.9644527642496996,3.9644527642496996,False
AL392172.2,0.0,6.98259209895107e-134,2.2548736595105716e-133,0.2476490103677746,0.2476490103677746,False
GINS3,0.0,7.653700064650003e-78,1.8194215684587962e-77,0.35416990556569294,0.35416990556569294,False
BRINP1,0.0,2.678245243382459e-41,4.996726200340408e-41,0.3863788387506978,0.3863788387506978,False
TARSL2,0.0,5.492789676853192e-49,1.0826786485255965e-48,2.2530188981966814,2.2530188981966814,False
PELI1,0.0,7.930725027320396e-25,1.272308827912363e-24,0.9064901496002024,0.9064901496002024,False
RPS27,0.0,0.0,0.0,0.6966091662334104,0.6966091662334104,False
AC092957.1,0.0,5.662234705770775e-07,7.128285403823889e-07,0.07807237265742298,0.07807237265742298,False
LRFN5,0.0,2.503535392840544e-18,3.725499096488905e-18,0.34150952386058736,0.34150952386058736,False
MGLL,0.0,2.5918684480324318e-105,7.301037881781497e-105,0.6343122544888822,0.6343122544888822,False
NINJ2,0.0,1.4631110995988958e-209,6.315587480283003e-209,1.7254401855015422,1.7254401855015422,False
AC006148.1,0.0,0.78956952191127,0.7983513871701415,1.6448301010381798,1.6448301010381798,False
ANKFN1,0.0,0.00010179155663993455,0.0001212285311313234,0.3473166602554724,0.3473166602554724,False
TP53TG5,0.0,8.08726779587052e-83,2.001798959373891e-82,1.637500846506125,1.637500846506125,False
DTNB,0.0,0.0,0.0,2.6732597862015424,2.6732597862015424,False
ADAMTSL3,0.0,1.064786608176794e-29,1.8016693877779934e-29,1.0284589780792686,1.0284589780792686,False
CDH4,0.0,9.746259330078846e-239,4.6410758714661174e-238,0.5936045569625057,0.5936045569625057,False
ACOT11,0.0,2.051928313881418e-06,2.5458167666022555e-06,0.3361503378841061,0.3361503378841061,False
EGFR,0.0,0.08911760283761314,0.09596296070094738,0.39754943342775834,0.39754943342775834,False
AC008957.2,0.0,4.088996980943128e-36,7.319207006461447e-36,0.3658636937771086,0.3658636937771086,False
SYTL3,0.0,2.3774271310915692e-21,3.67453961528836e-21,0.1701607453314112,0.1701607453314112,False
HPN-AS1,0.0,0.0,0.0,1.2060289531427144,1.2060289531427144,False
TMEM156,0.0,8.280964660726128e-101,2.2729088730263846e-100,0.2867398345775822,0.2867398345775822,False
PPP1R15A,0.0,7.588530704315259e-119,2.3018798900855185e-118,0.1190576539809786,0.1190576539809786,False
STXBP5,0.0,0.16478756099541095,0.17524377277073125,1.8333299610544114,1.8333299610544114,False
JAK1,0.0,2.0982152640659342e-16,3.0497314884679277e-16,3.2937903514153133,3.2937903514153133,False
ENOX2,0.0,5.955986842118934e-214,2.600867616645823e-213,1.81700673543335,1.81700673543335,False
SLC38A11,0.0,0.00019704361007389563,0.0002320890578019972,0.041339096220721586,0.041339096220721586,False
PIK3R1,0.0,1.3541396587732518e-33,2.356391517586865e-33,3.283960601734216,3.283960601734216,False
CTBP2,0.0,4.476977638324128e-182,1.755677505225148e-181,1.629693404509679,1.629693404509679,False
SPIDR,0.0,7.555058956950324e-08,9.685973021731186e-08,2.3678507508205047,2.3678507508205047,False
HIF3A,0.0,0.0010136735780788835,0.0011736861189643576,0.32323757623056704,0.32323757623056704,False
BBX,0.0,3.1526265029711106e-07,3.9889833441220297e-07,3.6394420649917807,3.6394420649917807,False
CLIP1,0.0,4.305071428819177e-06,5.299636555788893e-06,0.8326863973761931,0.8326863973761931,False
H3F3B,0.0,0.0,0.0,1.4206837028822363,1.4206837028822363,False
RFX3,0.0,0.0,0.0,2.4156719058689227,2.4156719058689227,False
HTR2C,0.0,0.0013492396252711457,0.001555020697584878,0.14668002645383532,0.14668002645383532,False
CHRM5,0.0,6.154009152269294e-71,1.4114699890525904e-70,0.6860154180254493,0.6860154180254493,False
