gene,coefficient,abs_coefficient,z_score,pvalue,padj,significant
HHIPL2,-3.0914633569683766e-05,3.0914633569683766e-05,0.008495220891284431,0.9932218759384874,0.9999963503102831,False
TAF1A,0.0009353404208963247,0.0009353404208963247,0.257027904476065,0.7971572318659981,0.9999963503102831,False
AIDA,0.0016013861862858275,0.0016013861862858275,0.4400546865317034,0.6598974999962701,0.9999963503102831,False
BROX,0.0010543531837198018,0.0010543531837198018,0.289732148140753,0.7720211600364582,0.9999963503102831,False
FAM177B,-0.0012219440514785775,0.0012219440514785775,0.3357854658281087,0.7370326510558762,0.9999963503102831,False
AL392172.2,0.00520867792246272,0.00520867792246272,1.431324405095639,0.15233726259235914,0.9999963503102831,False
AL392172.1,-8.682791614736222e-05,8.682791614736222e-05,0.02385997315928431,0.9809643019773193,0.9999963503102831,False
DISP1,0.0016190689396993418,0.0016190689396993418,0.44491383829474507,0.656382021719891,0.9999963503102831,False
AL929091.1,0.00062225466998796,0.00062225466998796,0.17099315960726397,0.8642291442261572,0.9999963503102831,False
TLR5,-0.0005491972700393054,0.0005491972700393054,0.15091727066270416,0.8800409765105113,0.9999963503102831,False
AL359979.1,-1.1520043494788508e-05,1.1520043494788508e-05,0.0031656630813636307,0.9974741705214112,0.9999963503102831,False
SUSD4,0.00012868503173068703,0.00012868503173068703,0.035362145486536815,0.9717909693462945,0.9999963503102831,False
