"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Dataset"
"XBP1",-0.859161267220401,2.85231008469901,-4.7183168574566,0.0001377666188774,0.0626125528786317,1.13693837574376,"gse225158"
"SERPINA1",-2.33125244318448,-1.38490181686548,-4.71456849906967,0.000138957498085953,0.0626125528786317,0.634714877032294,"gse225158"
"KDM5C",-0.530894983394916,4.57515593836135,-4.71228198910612,0.000139689049046225,0.0626125528786317,1.04003921932498,"gse225158"
"GLI3",1.22350975356796,5.94277130897103,4.69387654037843,0.000145721511841685,0.0641903259662621,0.98477652820432,"gse225158"
"RFX2",0.754573304363444,5.02125133142961,4.6850970691975,0.00014869122247943,0.0643883397140161,0.969875084171636,"gse225158"
"SLC1A2",1.52601230634763,9.18198926785122,4.67645888638706,0.00015167290738028,0.0645848518443131,0.97327949693154,"gse225158"
"TRIB1",1.03138823672214,1.2744236687522,4.6635914187909,0.000156226984475692,0.0654334955142535,1.04243560297592,"gse225158"
"TNIK",0.551873740884252,9.37262516924285,4.63288138236531,0.000167662926043628,0.0675138269595181,0.876756416652625,"gse225158"
"BEGAIN",0.780186329303517,3.55668732031383,4.62643181347042,0.000170170213737611,0.0675138269595181,0.88672935590778,"gse225158"
"RASD1",-1.95085568254294,1.86714377091863,-4.61055496186191,0.00017650508759738,0.0675138269595181,0.931049217148576,"gse225158"
"LINC02133",1.73741004881875,3.10666285103007,4.60508112099729,0.000178743970756884,0.0675138269595181,0.871423908979187,"gse225158"
"GADD45B",-2.91677598562038,1.97586679218439,-4.60296360745252,0.000179617744020225,0.0675138269595181,0.914298445698941,"gse225158"
"SERPINB1",-1.17117541136338,3.30119033558129,-4.59885886037901,0.000181323843213325,0.0675138269595181,0.856885027877025,"gse225158"
"AC009879.4",1.0316866541325,3.40443361455605,4.59161978381897,0.000184372698238994,0.0675138269595181,0.824970828826361,"gse225158"
"CERS3",1.12774991341562,1.69548274040977,4.58925835188831,0.000185378415575544,0.0675138269595181,0.886781101596455,"gse225158"
"DNAH7",1.3925512105995,5.60663637944757,4.58911931644418,0.000185437802262677,0.0675138269595181,0.754727098856029,"gse225158"
"CD14",-2.3667778507263,0.407436036299014,-4.58404329173874,0.000187619151987388,0.0675138269595181,0.80673823773981,"gse225158"
"MTHFD2",-1.45018673832916,1.89057153735855,-4.56714110097333,0.0001950712325186,0.0692204849946904,0.842025171175661,"gse225158"
"VSIG4",-2.36034257016585,0.490226279908539,-4.55673735214021,0.000199806102815608,0.0694648846578021,0.737551844010505,"gse225158"
"PRDX4",-0.659086087169338,2.55413415494312,-4.55343687507659,0.000201332305835791,0.0694648846578021,0.7888582385881,"gse225158"
"TAP2",-0.818865405025261,2.42999326971798,-4.54679497507487,0.00020443941732915,0.0694648846578021,0.783341892536397,"gse225158"
"AC019211.1",1.16704381044098,1.92267529180742,4.5407203426479,0.000207323528075334,0.0694648846578021,0.772538010458535,"gse225158"
"DRICH1",0.970892715367025,1.67459102199228,4.53649375639439,0.00020935442164667,0.0694648846578021,0.77516216131616,"gse225158"
"MARC1",0.683407888512441,2.51581537112926,4.52077235977462,0.000217086484794779,0.0711069564105361,0.713473471879216,"gse225158"
"SNTA1",0.814585584072884,4.38108649995134,4.51173337262374,0.000221661847788012,0.0716865639131129,0.601609218418632,"gse225158"
"AJAP1",0.625081937353214,5.98594382443474,4.50137619121214,0.000227024210707646,0.0721044795111056,0.550344763466319,"gse225158"
"CDH4",0.850744410987164,7.11769751374697,4.49838236342707,0.000228598490758916,0.0721044795111056,0.548042730296205,"gse225158"
"SLC24A3",0.720573706606765,6.91824343832961,4.48659780055371,0.000234903032002743,0.0731894824955865,0.519280635866282,"gse225158"
"CSRNP1",-1.55706560266123,1.14303098009593,-4.46556835043956,0.00024659235384254,0.0737184429883805,0.614532353694783,"gse225158"
