"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Dataset"
"EPHX3",0.454368632165771,-2.21769217749079,1.3064034733584,0.207291255407097,0.703135317507742,-4.52033805345562,"gse225158"
"DPT",-0.421359740733565,-0.103204910700602,-1.30632895881912,0.207316072910322,0.703135317507742,-4.58079142488698,"gse225158"
"SOAT2",-0.537247379455944,-2.00587225928375,-1.30608503987617,0.207397327853145,0.703266001526687,-4.52213443995594,"gse225158"
"GRIPAP1",-0.136871684429328,5.05924025142951,-1.30604803621482,0.207409656796884,0.703266001526687,-5.02279931378615,"gse225158"
"ABI1",0.143522615710825,6.85587620319682,1.30559173732141,0.207561734532243,0.703346390310146,-5.05249200276077,"gse225158"
"RETREG3",0.112376048886369,4.73396035516633,1.30551918674707,0.207585922636169,0.703346390310146,-5.01050813984985,"gse225158"
"CLCN6",0.120415128435368,4.64755435910394,1.30548257342472,0.20759813022763,0.703346390310146,-5.00710678218768,"gse225158"
"AC009152.3",0.781705337920926,-0.748216730431759,1.30542919735736,0.207615927852478,0.703346390310146,-4.54189618352776,"gse225158"
"DNAAF4",-0.193915418200856,4.98178658895545,-1.30519983030953,0.20769242123689,0.703346390310146,-5.02236170372181,"gse225158"
"LNCARSR",-0.355089244690273,-1.05534277974487,-1.305155670758,0.207707150884321,0.703346390310146,-4.54263653273819,"gse225158"
"PIF1",0.358201809109159,-0.381028654674444,1.30511331313654,0.207721280258787,0.703346390310146,-4.56650019371899,"gse225158"
"ADAM10",0.153742344096228,7.71020260632089,1.30508582457161,0.207730450115486,0.703346390310146,-5.04416643071545,"gse225158"
"AFAP1",0.278071813428785,5.48428262000862,1.3050261929143,0.20775034361545,0.703346390310146,-5.04012029012298,"gse225158"
"RDH11",0.122938901700337,5.0481529401845,1.30501849096097,0.207752913145038,0.703346390310146,-5.0279594501573,"gse225158"
"CXorf56",-0.168399361256642,3.0286198351929,-1.30493727682614,0.207780009363758,0.703346390310146,-4.86610308131033,"gse225158"
"PTN",0.199653938458777,7.23024089636179,1.30492036109755,0.20778565346275,0.703346390310146,-5.05084050831121,"gse225158"
"HDHD5-AS1",0.139424814264081,3.07982406636736,1.30483570400264,0.207813901941372,0.703346390310146,-4.87137258822394,"gse225158"
"AC116337.3",-0.290750200142583,1.43538029364076,-1.30482109887081,0.207818775703601,0.703346390310146,-4.69156946322994,"gse225158"
"TOX",0.33779264497614,5.93535319649114,1.30471243613312,0.20785503949603,0.703375947560805,-5.04259180200428,"gse225158"
"AC046130.2",-0.249426031713494,1.0333023879064,-1.30427683252594,0.20800046243578,0.703774839726094,-4.65982976787667,"gse225158"
"C9orf116",-0.379095324090936,0.143912552216681,-1.30376498911234,0.208171439424616,0.704260077576737,-4.59882633903602,"gse225158"
"LINC02470",0.495077327389151,-0.0941506201488857,1.30365525723706,0.208208108780213,0.704290873987246,-4.58327527610955,"gse225158"
"FSCN3",-0.250718676257807,-0.178341491252017,-1.30351941918223,0.208253509115382,0.704351192002764,-4.58069768726791,"gse225158"
"CRK",0.183723126076939,4.97880497056447,1.30330853186309,0.208324008096787,0.704468869438642,-5.02545406915635,"gse225158"
"AC073050.1",-0.232041823507909,8.16677844914843,-1.30325038722913,0.208343448959974,0.704468869438642,-5.03592304770481,"gse225158"
"AC132872.2",0.704688903526783,-2.96997833161393,1.30315870351508,0.208374106623051,0.704479297355078,-4.51755042106273,"gse225158"
"NUDT5",-0.114625328602801,5.68463096361295,-1.30290836176093,0.208457835179604,0.704669122916606,-5.04813243174341,"gse225158"
"MORC2-AS1",0.24575823534718,1.71779922441904,1.30282473182922,0.208485811674842,0.704670459383586,-4.71707363388937,"gse225158"
"AC090229.1",-0.497281727108844,-1.69119211449545,-1.30267028956065,0.208537484568336,0.704685309322404,-4.53074334751385,"gse225158"
"ABHD16A",-0.164714791609833,3.56766508847778,-1.30252538396876,0.208585975835339,0.704685309322404,-4.92767508451345,"gse225158"
"LINC00958",-0.430959966411942,1.6617062965353,-1.30248067525049,0.208600938963707,0.704685309322404,-4.72802854860156,"gse225158"
"AC068254.1",-0.617232652547687,-0.141180397217846,-1.30235726784518,0.208642245361625,0.704685309322404,-4.56876798177992,"gse225158"
"LINC01284",-0.268153603263256,4.48064716388393,-1.30228475354035,0.208666520029894,0.704685309322404,-5.00061182997468,"gse225158"
"AL109910.1",0.480210981486214,1.72340392547996,1.30217103571037,0.208704592323645,0.704685309322404,-4.71873334982263,"gse225158"
"P3H3",-0.180821255703902,2.50601388877827,-1.30215688666629,0.208709329750303,0.704685309322404,-4.81040169585356,"gse225158"
"AC063938.1",0.638108578048083,-2.36415736930659,1.30203098972815,0.208751486664434,0.704685309322404,-4.51973962880166,"gse225158"
"ZNF580",0.50602175812902,-0.38978743420273,1.30198109878807,0.208768194620935,0.704685309322404,-4.56141988157654,"gse225158"
"AC016526.4",-0.951919785758613,-2.74242147965195,-1.30197595981333,0.20876991566963,0.704685309322404,-4.51762271441245,"gse225158"
"IDI2",0.542665117087096,-1.48358715164126,1.30174979895555,0.208845668223059,0.704685309322404,-4.53003050920335,"gse225158"
"MAP3K14-AS1",0.365748095701035,-0.864799098524338,1.30171831037702,0.208856217027369,0.704685309322404,-4.54772457012493,"gse225158"
"AP001109.1",0.708818165378376,-2.48828733295154,1.30163957682259,0.208882594922097,0.704685309322404,-4.52033312582783,"gse225158"
"KPNA6",0.160016140810191,5.28702044589511,1.30152588340054,0.208920689936704,0.704685309322404,-5.03915128133332,"gse225158"
"AC092125.2",-0.482476089506517,-0.564096440282665,-1.30149793276536,0.20893005613083,0.704685309322404,-4.56029109763071,"gse225158"
"ACVR1B",-0.179999143772338,4.60427753325054,-1.30144385324966,0.208948178987655,0.704685309322404,-5.00817428059582,"gse225158"
"TESK2",0.248223491880011,6.25012175726849,1.30124467790229,0.209014936259363,0.704685309322404,-5.05763231457233,"gse225158"
"LY96",0.380696066865458,1.69106551407433,1.30113600265198,0.209051367811102,0.704685309322404,-4.71494695453547,"gse225158"
"RNF31",0.146187260701111,3.2516516952284,1.30097096009293,0.209106705073636,0.704685309322404,-4.89477631264761,"gse225158"
"METAP2",-0.14093502111817,5.60897654735506,-1.30088311721848,0.209136162667567,0.704685309322404,-5.04989505679038,"gse225158"
"IL6R-AS1",0.543467617587165,-1.34840008577567,1.30073773140088,0.209184924095742,0.704685309322404,-4.53498819643716,"gse225158"
"ABHD6",0.184836135665378,5.99661192647919,1.30071447770313,0.209192724056377,0.704685309322404,-5.05743456301723,"gse225158"
"OTUD3",-0.201787429357985,5.22949308750649,-1.30062643422503,0.209222258442259,0.704685309322404,-5.03499302281514,"gse225158"
"CYP4X1",-0.286725063652536,3.58020047195716,-1.30029046026246,0.20933499169982,0.704685309322404,-4.92807144634292,"gse225158"
"CDKL1",0.21025284481183,5.95217631385636,1.30014504170421,0.209383800438148,0.704685309322404,-5.05587135057416,"gse225158"
"LEP",0.528317727962086,-1.53337993075671,1.30009685608052,0.209399975577714,0.704685309322404,-4.53574893856369,"gse225158"
"AC010226.1",0.191073675965118,3.38315984290753,1.29988272492199,0.209471867808638,0.704685309322404,-4.90664423942032,"gse225158"
"DRAM1",0.292840836847541,2.79441707161641,1.29981679864227,0.209494005739926,0.704685309322404,-4.83740223602036,"gse225158"
